"Date: 2016-05-25+0000"
"Version: 2.0"
"Status:
0 Normal
1 Completed
2 Archived"
"List Name","Title","Content","Is Checklist","Due Date","Reminder","Repeat","Priority","Status","Completed Time","Order","Timezone","Is All Day"
"自我成长","[编程] 阅读 blinker 开源代码实现 [2h]","","N","2016-04-12T16:00:00+0000","","","0","2","2016-04-13T17:05:44+0000","-179220395327488","Asia/Shanghai","true"
"自我成长","[阅读] 《松本行弘的程序世界》 [2h]","","N","2016-04-09T16:00:00+0000","","","0","2","2016-04-13T07:58:10+0000","-178120883699712","Asia/Shanghai","true"
"自我成长","[编程] python meta programming - lazy property [2h]","","N","2016-04-11T16:00:00+0000","","","0","2","2016-04-13T07:57:47+0000","-177021372071936","Asia/Shanghai","true"
"自我成长","[电影] 非常嫌疑犯 [2h]","","N","2016-04-08T16:00:00+0000","","","0","2","2016-04-09T13:29:51+0000","-175921860444160","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据操作及索引视频剪辑 [1h]","","N","2016-04-08T16:00:00+0000","","","0","2","2016-04-09T13:27:33+0000","-174822348816384","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据操作及索引视频剪辑 [1h]","","N","2016-04-07T16:00:00+0000","","","0","2","2016-04-09T13:27:10+0000","-173722837188608","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据操作及索引视频录制 [2.4h]","","N","2016-04-06T16:00:00+0000","","","0","2","2016-04-07T17:25:12+0000","-172623325560832","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据操作备课 [1h]","","N","2016-04-06T16:00:00+0000","","","0","2","2016-04-07T05:59:13+0000","-171523813933056","Asia/Shanghai","true"
"自我成长","[编程] Pelican 代码阅读 [4h]","","N","2016-04-05T16:00:00+0000","","","0","2","2016-04-06T17:26:51+0000","-170424302305280","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据操作备课 [2h]","","N","2016-04-05T16:00:00+0000","","","0","2","2016-04-06T17:26:21+0000","-169324790677504","Asia/Shanghai","true"
"自我成长","[阅读] 《松本行弘的程序世界》 [1h]","","N","2016-04-04T16:00:00+0000","","","0","2","2016-04-06T03:12:20+0000","-168225279049728","Asia/Shanghai","true"
"自我成长","[阅读] 《松本行弘的程序世界》 [1h]","","N","2016-04-03T16:00:00+0000","","","0","2","2016-04-06T03:12:11+0000","-167125767421952","Asia/Shanghai","true"
"自我成长","[编程] pandas 核心数据结构视频剪辑 [2.5h]","","N","2016-03-30T16:00:00+0000","","","0","2","2016-03-31T17:12:30+0000","-166026255794176","Asia/Shanghai","true"
"自我成长","[探索发现] kitabu 生成的电子书中 LaTeX 公式的显示问题 [2h]","kitabu::redcarpet:: markdown -> htmlkitabu::layout.erb:: mathjax -> htmlkitabu::princexml:: html -> pdfwhy `prince --javascript x.html -o x.pdf` not work?http://stackoverflow.com/questions/25856269/convert-html-containing-mathjax-markups-to-pdfwhat's the solution?http://www.princexml.com/forum/topic/2971/using-mathjax-with-princexml","N","2016-03-30T16:00:00+0000","","","0","2","2016-03-31T00:56:53+0000","-164926744166400","Asia/Shanghai","true"
